,_,Taishan,Old Chinese,Middle Chinese,Late Han,
_,_,_ia_21,sˆ_,sie_,se_,star
_,_,_ut215,_ot,_jw_t,_y_t,moon
_,_,hei_33,thŒn,t_ien,t_en,day
_,_,g__33,ra_h,lja__,li___,lightning
_,_,_ut55,sot,sjw„t,syat,snow
_,_,lui22,r–i,lu_i,lu_i,thunder
_,_,ein32,lŒns,dien_,den_,lightning
_,_,d_k215,bhr_k,b_uk,bhr__uk,hail
_,_,k__22,kr“_h,k†__,k†__,rainbow
_,_,m_u22,mƒu,mƒu,m_u,fur
_,_,_ui215,_a,_jwo,___,fish
_,_,ma21,mrƒ_,ma_,ma_,horse
_,_,dzi33,tra,_jwo,__,pig
_,_,si55,nha_,_jwo_,t____,mouse
_,_,l_u55,r–_,lƒu_,lou_,old
_,_,nui55,nrah,_jwo_,___,"daughter, girl"
_,_,nam22,n__m,n_m,n_m,"son, boy"
_,_,d_i55,ts_,ts_,tsi_,son
_,_,_i55,si_,si_,si_,to die
_,_,__i33,_ƒi_,_ƒ_,__i_,I
_,_,ni33,n‹,n__,ni4,you
_/_,_,hai55,kh_nh,kh_n,kh_nh,to see
_,_,sui55,lhui_,_wi_,_ui_,water